priority,pack_zip,task_type,task_description,output
1,modular_environment_shop_quest_glb_pack_v1.zip,roadmap_pack_conversion,"convert environment modules into grid-snapped prefabs with collision, snapping sockets, material variants, and navigation rules",engine prefabs + QA report
2,biome_specific_props_glb_pack_v1.zip,roadmap_pack_conversion,"tag by biome, make instanced prop prefabs, assign simple colliders, and create density/placement rules",engine prefabs + QA report
3,modular_environment_shop_quest_glb_pack_v1.zip,roadmap_pack_conversion,"convert shop/interior meshes into interactive shop, inn, blacksmith, dye, and display prefabs",engine prefabs + QA report
4,item_pickup_equipment_display_glb_pack_v1.zip,roadmap_pack_conversion,"map item database entries to archetype prefabs, rarity glows, loot beams, pickup triggers, and display stands",engine prefabs + QA report
5,05_vfx_proxy_combat_telegraph_glb_pack_v1.zip,roadmap_pack_conversion,"turn static VFX meshes into timed VFX prefabs with emissive/additive materials, scaling curves, despawn, and hitbox sync",engine prefabs + QA report
6,06_animation_placeholder_pose_glb_pack_v1.zip,roadmap_pack_conversion,use pose proxies as animation reference targets; create humanoid/quadruped placeholder state machines,engine prefabs + QA report
7,07_ui_hud_worldspace_markers_glb_pack_v1.zip,roadmap_pack_conversion,"convert markers to worldspace UI prefabs with billboard behavior, distance fading, occlusion rules, and accessibility scaling",engine prefabs + QA report
8,08_quest_interaction_objects_glb_pack_v1.zip,roadmap_pack_conversion,"add interactable components, quest state visibility, objective highlighting, and completion logic",engine prefabs + QA report
9,09_mounts_vehicles_travel_glb_pack_v1.zip,roadmap_pack_conversion,"add ride/board/use components, nav constraints, docking points, camera anchors, and travel transitions",engine prefabs + QA report
10,10_enemy_faction_architecture_glb_pack_v1.zip,roadmap_pack_conversion,"make faction structures, hazards, spawn anchors, turrets, nest objects, and destructible objectives into prefabs",engine prefabs + QA report
11,11_boss_arena_mechanics_glb_pack_v1.zip,roadmap_pack_conversion,"build boss arena prefabs with mechanic anchors, climbing points, phase triggers, lane markers, hazard zones, and camera volumes",engine prefabs + QA report
12,12_audio_placeholder_cue_pack_v1.zip,roadmap_pack_conversion,"import WAV cues as audio events, group by mixer, add spatialization, variation, cooldown, and replacement hooks",engine prefabs + QA report
other,01_animation_placeholder_pose_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,02_ui_hud_worldspace_markers_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,03_enemy_faction_architecture_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,04_boss_arena_mechanics_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,05_mounts_vehicles_travel_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,06_lighting_atmosphere_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,07_puzzle_mechanisms_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,08_destructible_debris_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,09_resource_gathering_nodes_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,10_town_exterior_structures_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,11_faction_banners_signage_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,12_combat_training_practice_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,13_companion_pet_summon_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,14_projectiles_ammo_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,15_crafting_workstations_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,16_cinematic_story_props_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,17_accessibility_readability_markers_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,18_lod_collision_navigation_helpers_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,19_dungeon_traps_hazards_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,20_ambient_wildlife_critters_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,MASTER_ALL_GLB_ASSETS_PACK.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,TWENTY_NEXT_GAME_ASSET_PACKS_MASTER.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,browser_game_3d_asset_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,concept_monsters_proper_glb_pack_v2.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,free_flow_creatures_and_bosses_glb_pack_v3.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,sector_characters_glb_pack_v4.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,tiered_low_poly_monster_model_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
other,vfx_proxy_combat_telegraph_glb_pack_v1.zip,general_pack_conversion,"import, classify, prefab, validate",engine prefabs + QA report
