level,xp_required_for_next_level_basis,story_xp_share,story_xp_budget,quests_at_this_recommended_level,average_story_xp_per_quest,note
1,1000,0.75,750,7,107.14,Character level XP budget.
2,1500,0.65,975,6,162.5,Character level XP budget.
3,2500,0.55,1375,6,229.17,Character level XP budget.
4,4000,0.48,1920,6,320.0,Character level XP budget.
5,6000,0.45,2700,7,385.71,Character level XP budget.
6,8500,0.45,3825,6,637.5,Character level XP budget.
7,11500,0.45,5175,6,862.5,Character level XP budget.
8,15000,0.45,6750,6,1125.0,Character level XP budget.
9,20000,0.4,8000,7,1142.86,Character level XP budget.
10,26000,0.4,10400,6,1733.33,Character level XP budget.
11,33000,0.34,11220,6,1870.0,Character level XP budget.
12,41000,0.34,13940,6,2323.33,Character level XP budget.
13,50000,0.34,17000,7,2428.57,Character level XP budget.
14,60000,0.34,20400,6,3400.0,Character level XP budget.
15,72000,0.34,24480,6,4080.0,Character level XP budget.
16,85000,0.34,28900,6,4816.67,Character level XP budget.
17,100000,0.3,30000,7,4285.71,Character level XP budget.
18,116000,0.3,34800,6,5800.0,Character level XP budget.
19,134000,0.3,40200,6,6700.0,Character level XP budget.
20,154000,0.3,46200,6,7700.0,Character level XP budget.
21,176000,0.26,45760,5,9152.0,Character level XP budget.
22,200000,0.26,52000,5,10400.0,Character level XP budget.
23,226000,0.26,58760,5,11752.0,Character level XP budget.
24,254000,0.26,66040,5,13208.0,Character level XP budget.
25,284000,0.26,73840,5,14768.0,Character level XP budget.
26,316000,0.22,69520,5,13904.0,Character level XP budget.
27,350000,0.22,77000,5,15400.0,Character level XP budget.
28,386000,0.22,84920,5,16984.0,Character level XP budget.
29,424000,0.22,93280,5,18656.0,Character level XP budget.
30,464000,0.22,102080,5,20416.0,Character level XP budget.
31,506000,0.18,91080,5,18216.0,Character level XP budget.
32,550000,0.18,99000,5,19800.0,Character level XP budget.
33,596000,0.18,107280,5,21456.0,Character level XP budget.
34,644000,0.18,115920,5,23184.0,Character level XP budget.
35,694000,0.18,124920,5,24984.0,Character level XP budget.
36,746000,0.14,104440,7,14920.0,Character level XP budget.
37,800000,0.14,112000,6,18666.67,Character level XP budget.
38,856000,0.14,119840,6,19973.33,Character level XP budget.
39,914000,0.14,127960,18,7108.89,Character level XP budget.
40,914000,0.08,73120,13,5624.62,Capstone/Mastery budget; applies to leveling only if player is not yet capped.
