monster,family,role,standard_level,hp,damage,armor,shield,stagger_resistance,speed,base_xp,mechanic
Grid-Rushers,Early,Combo-Batteries / Positional Threat,2,120,12,0,0,5,1.15,5,Linear Swarm; one-hit fodder pressure
Gnarl-Maws,Early,Fodder / Movement Restrictor,4,420,22,10,0,18,0.85,10,Latch & Drag; Shake-Off check
Scrap-Phalanx,Early,Defensive Horde,6,280,18,35,25,25,0.7,15,Turtle Shell; Scatter Strike requirement
Siphon-Ticks,Early,Evasive Nuisance / Priority Target,8,160,12,5,0,12,1.35,25,Opportunist meter-drain; chase reclaim
Aegis Carapace,Mid,Directional Blocker,12,1100,60,55,50,45,0.8,40,Frontal Deflection; Vault-Over Vulnerability
Iron-Jaw Hound,Mid,Combo Breaker / Priority Target,13,950,75,30,0,35,1.25,55,Latch; teammate vault-kick assist
Venom-Spitter,Mid,Ranged Harasser / Flow Extender,15,700,65,15,0,20,1.05,75,Telegraphed Projectiles; Projectile Reversal
Tremor-Fiend,Mid,Area Denial / Pacing Dictator,18,1800,120,40,0,65,0.75,125,Metronome Strike; Sonic Bellow
Nexus Swarmers,Late,Mob / Escalating Threat,26,500,40,10,15,20,1.2,15,Swarm Mentality; Adaptive Evolution into Nexus Warden
Nexus Warden,Late,Evolved Construct,27,3500,180,50,75,75,0.9,400,Long-range beams; heavy defenses after Swarm fusion
Scrap-Stalker,Late,High-Mobility Assassin / Flanker,28,2600,190,35,20,55,1.35,180,Hydraulic Pounce; Overclock; EMP Howl
Sylvan Juggernaut,Late,Heavy Tank / Environmental Hazard,30,5000,240,80,0,95,0.65,300,Ablative Armor; Rooting Strike; Regrowth
Void Anomaly,Late,Elite / Mini-Boss,32,4200,300,20,60,90,1.1,500,Phase Shift; Reality Tear
Ivory Behemoth,Boss,Charging Giant / Positioning Test,4,3500,150,60,0,90,0.85,1200,Stampede; Parasitic Swarm
Resonant Behemoth,Boss,Rhythm-Based Giant / Environmental Hazard,8,7200,230,70,30,100,0.75,2500,Bass Drop; Echo Strikes
Resonance Maestro,Boss,Sonic Spellcaster / Tempo Controller,12,9000,300,35,80,80,1.05,4500,Bass Trap; Tempo Shift
Apex Chimera,Boss,Evolutionary Beast / Mob Integrator,16,13000,420,50,40,95,1.15,7000,Forced Evolution; Interception Combos
Null Anomaly,Boss,Reality Warper / Precision Tester,20,18000,560,35,90,105,1.1,12000,Echo Splintering; Gravity Reversal
Ascendant Colossus,Boss,Multi-Phase Titan / Form-Shifter,25,26000,750,75,100,125,0.8,18000,Evolutionary Phases; Structural Scaling
Data-Forged Evolvarch,Boss,Evolutionary Titan / Form-Shifter,30,38000,1000,85,125,135,0.95,28000,Tiered Evolution; Evolution Interrupt
Syndicate Lich,Boss,Undead Commander / Zone Controller,35,52000,1250,70,150,115,0.95,40000,Issuing Orders; Combo-Locked Shielding
Astral Sovereign,Boss,Cosmic Lich / Gravity Manipulator,40,80000,1650,90,200,150,1.0,60000,Zero-G Combos; Orbital Deflection
